id,enerc_kcal,water,protain,protainb_by_amino,lipid,fantnlea,fasat,fams,fapu,carbohydrate,choavlm,fibsol,fibins,fibtg,ash,ne,k,ca,mg,p,fe,zn,cu,mn,i_d,se,cr,mo,retol,carta,cartb,crypxb,cartbeq,vita_rae,vitd,tocpha,tocphb,tocphg,tocphd,vitk,thiahcl,ribf,nia,vitb6a,vitb12,fol,pantac,biot,vitc,nacl_eq,alc,nitra,thebrn,caffn,tan,polyphent,aceac,food_id
19,365,14.5,11.8,10.7,1.5,1.3,0.35,0.14,0.77,71.7,73.5,1.2,1.5,2.7,0.4,Tr,89,17,23,64,0.9,0.8,0.15,0.32,0,39,1,26,0,-,-,-,0,0,0,0.3,0.2,0,0,0,0.09,0.04,0.8,0.06,0,16,0.77,1.7,0,0,-,-,-,-,-,-,-,19
20,366,14.5,12.6,11.6,1.7,-1.5,-0.39,-0.15,-0.87,70.6,70,0.9,1.2,2.1,0.5,Tr,86,21,36,86,1,1,0.19,0.58,0,49,1,30,0,-,-,-,0,0,0,0.5,0.2,0,0,0,0.13,0.04,1.1,0.08,0,18,0.93,2.6,0,0,-,-,-,-,-,-,-,20
21,328,14.5,12.8,-11.7,2.9,-2.4,-0.53,-0.33,-1.44,68.2,-61.2,1.5,9.7,11.2,1.6,2,330,26,140,310,3.1,3,0.42,4.02,0,47,3,44,0,-,-,-,0,0,0,1,0.5,0,0,0,0.34,0.09,5.7,0.33,0,48,1.27,10.8,0,0,-,-,-,-,-,-,-,21
22,352,9.8,10.1,8.8,1.9,1.8,0.42,0.32,0.93,73.6,74.1,1.7,1.1,2.8,3.9,1400,210,64,31,320,1,0.7,0.13,0.92,1400,8,3,15,0,Tr,7,1,8,1,0.1,0.6,0.3,0.2,Tr,1,0.21,0.03,1.5,0.07,0.1,17,0.41,2.4,Tr,3.7,-,-,-,-,-,-,-,22
23,365,11.1,7.8,-7.1,4,-3.6,-1.54,-1.07,-0.86,74.4,-78.5,0.9,1,1.8,2.1,390,230,100,12,170,0.5,0.3,0.07,-,0,3,5,11,9,-,-,-,3,9,0.1,0.5,0.1,0.3,0.1,1,0.1,0.08,0.5,0.04,0.1,10,0.48,1.5,Tr,1,-,-,-,-,-,-,-,23
24,331,8.3,10.2,9.1,1.2,1,0.33,0.16,0.47,70,69.4,1.4,1.2,2.6,10.3,3800,280,110,39,130,1.2,0.7,0.1,0.96,1,6,6,23,0,2,39,31,56,5,0,0.3,0.2,0.1,0,2,0.15,0.07,1.3,0.12,Tr,26,0.33,4.3,0,9.7,-,-,-,-,-,-,-,24
25,351,12.4,8.8,8,1.3,1.1,0.32,0.14,0.58,76.1,77.1,1.5,1,2.5,1.2,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10,Tr,Tr,3,2,4,1,0,0.3,0.2,0,0,0,0.12,0.99,0.9,0.06,0,12,0.35,1.3,0,0.5,-,-,-,-,-,-,-,25
26,264,38,9.3,7.5,4.4,-4.1,-1.9,-1.15,-0.87,46.7,49.1,0.4,1.9,2.3,1.6,500,97,29,20,83,0.6,0.8,0.11,0.24,1,24,1,18,0,0,2,0,2,Tr,0,0.5,0.1,0.7,Tr,0,0.07,0.04,1.2,0.03,(Tr),32,0.47,2.4,0,1.3,-,-,-,-,-,-,-,26
27,265,37,8.5,7.1,3.8,-3.6,-1.64,-1,-0.75,49.1,-,1,1,2,1.6,520,95,37,24,75,1,0.7,0.12,0.39,-,-,-,-,0,-,-,-,0,0,0,0.4,0.1,0.8,0.2,(Tr),0.08,0.08,0.7,0.04,(Tr),45,0.63,-,0,1.3,-,-,-,-,-,-,-,27
28,393,5.5,9.5,-7.9,4.4,-4,-1.7,-1.01,-1.15,78.8,-81.1,1.8,1.3,3.1,1.8,490,160,30,27,95,1.2,0.6,0.18,0.82,-,-,-,-,0,-,-,-,0,0,0,1.1,0.3,0.7,0.1,(Tr),0.14,0.06,0.9,0.06,0,20,0.41,-,0,1.2,-,-,-,-,-,-,-,28
