id,name,nutritive_id
123,こめ　［うるち米製品］　玄米粉　　,123
124,こめ　［うるち米製品］　米粉　　,124
125,こめ　［うるち米製品］　米粉パン　　,125
126,こめ　［うるち米製品］　米粉めん　　,126
127,こめ　［うるち米製品］　ビーフン　　,127
128,こめ　［うるち米製品］　米こうじ　　,128
129,こめ　［もち米製品］　もち　　,129
130,こめ　［もち米製品］　赤飯　　,130
131,こめ　［もち米製品］　あくまき　　,131
132,こめ　［もち米製品］　白玉粉　　,132
133,こめ　［もち米製品］　道明寺粉　　,133
134,こめ　［その他］　米ぬか　　,134
135,そば　そば粉　全層粉　　,135
136,そば　そば粉　内層粉　　,136
137,そば　そば粉　中層粉　　,137
138,そば　そば粉　表層粉　　,138
139,そば　そば米　　　,139
140,そば　そば　生　　,140
141,そば　そば　ゆで　　,141
142,そば　干しそば　乾　　,142
143,そば　干しそば　ゆで　　,143
144,とうもろこし　玄穀　黄色種　　,144
145,とうもろこし　玄穀　白色種　　,145
146,とうもろこし　コーンミール　黄色種　　,146
147,とうもろこし　コーンミール　白色種　　,147
148,とうもろこし　コーングリッツ　黄色種　　,148
149,とうもろこし　コーングリッツ　白色種　　,149
150,とうもろこし　コーンフラワー　黄色種　　,150
151,とうもろこし　コーンフラワー　白色種　　,151
152,とうもろこし　ジャイアントコーン　フライ　味付け　　,152
153,とうもろこし　ポップコーン　　　,153
154,とうもろこし　コーンフレーク　　　,154
155,はとむぎ　精白粒　　　,155
156,ひえ　精白粒　　　,156
157,もろこし　玄穀　　　,157
158,もろこし　精白粒　　　,158
159,ライむぎ　全粒粉　　　,159
160,ライむぎ　ライ麦粉　　　,160
161,雑穀　五穀　,161
162,＜いも類＞きくいも　塊茎　生　　　,162
163,＜いも類＞きくいも　塊茎　水煮　　　,163
164,＜いも類＞こんにゃく　精粉　　　,164
165,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,165
166,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,166
167,＜いも類＞こんにゃく　赤こんにゃく　　　,167
168,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,168
169,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,169
170,＜いも類＞こんにゃく　しらたき　　　,170
171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,171
172,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,172
173,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,173
174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,174
175,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,175
176,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,176
177,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,177
178,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,178
179,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,179
180,＜いも類＞（さといも類）　さといも　球茎　生　　,180
181,＜いも類＞（さといも類）　さといも　球茎　水煮　　,181
182,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,182
183,＜いも類＞（さといも類）　セレベス　球茎　生　　,183
184,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,184
185,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,185
186,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,186
187,＜いも類＞（さといも類）　みずいも　球茎　生　　,187
188,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,188
189,＜いも類＞（さといも類）　やつがしら　球茎　生　　,189
190,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,190
191,＜いも類＞じゃがいも　塊茎　生　　　,191
192,＜いも類＞じゃがいも　塊茎　蒸し　　　,192
193,＜いも類＞じゃがいも　塊茎　水煮　　　,193
194,＜いも類＞じゃがいも　フライドポテト　　　,194
195,＜いも類＞じゃがいも　乾燥マッシュポテト　　　,195
196,＜いも類＞ヤーコン　塊根　生　　　,196
197,＜いも類＞ヤーコン　塊根　水煮　　　,197
198,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,198
199,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,199
200,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,200
201,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,201
202,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,202
203,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,203
204,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,204
205,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,205
206,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,206
207,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,207
208,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,208
209,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,209
