id,name
135,そば　そば粉　全層粉　　
136,そば　そば粉　内層粉　　
137,そば　そば粉　中層粉　　
138,そば　そば粉　表層粉　　
139,そば　そば米　　　
140,そば　そば　生　　
141,そば　そば　ゆで　　
142,そば　干しそば　乾　　
143,そば　干しそば　ゆで　　
144,とうもろこし　玄穀　黄色種　　
145,とうもろこし　玄穀　白色種　　
146,とうもろこし　コーンミール　黄色種　　
147,とうもろこし　コーンミール　白色種　　
148,とうもろこし　コーングリッツ　黄色種　　
149,とうもろこし　コーングリッツ　白色種　　
150,とうもろこし　コーンフラワー　黄色種　　
151,とうもろこし　コーンフラワー　白色種　　
152,とうもろこし　ジャイアントコーン　フライ　味付け　　
153,とうもろこし　ポップコーン　　　
154,とうもろこし　コーンフレーク　　　
155,はとむぎ　精白粒　　　
156,ひえ　精白粒　　　
157,もろこし　玄穀　　　
158,もろこし　精白粒　　　
159,ライむぎ　全粒粉　　　
160,ライむぎ　ライ麦粉　　　
161,雑穀　五穀　
162,＜いも類＞きくいも　塊茎　生　　　
163,＜いも類＞きくいも　塊茎　水煮　　　
164,＜いも類＞こんにゃく　精粉　　　
165,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　
166,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　
167,＜いも類＞こんにゃく　赤こんにゃく　　　
168,＜いも類＞こんにゃく　凍みこんにゃく　乾　　
169,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　
170,＜いも類＞こんにゃく　しらたき　　　
171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　
172,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　
173,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　
174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　
175,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　
176,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　
177,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　
178,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　
179,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　
180,＜いも類＞（さといも類）　さといも　球茎　生　　
181,＜いも類＞（さといも類）　さといも　球茎　水煮　　
182,＜いも類＞（さといも類）　さといも　球茎　冷凍　　
183,＜いも類＞（さといも類）　セレベス　球茎　生　　
184,＜いも類＞（さといも類）　セレベス　球茎　水煮　　
185,＜いも類＞（さといも類）　たけのこいも　球茎　生　　
186,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　
187,＜いも類＞（さといも類）　みずいも　球茎　生　　
188,＜いも類＞（さといも類）　みずいも　球茎　水煮　　
189,＜いも類＞（さといも類）　やつがしら　球茎　生　　
190,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　
191,＜いも類＞じゃがいも　塊茎　生　　　
